Pollutant,Test_Samples,MAE,RMSE,R2,MSE
PM25,8788,3.2751,6.0469,0.8167,36.5654
PM10,8788,2.5834,4.4874,0.7728,20.1369
NO2,8788,1.28,2.2398,0.7706,5.0166
SO2,8788,0.3708,0.6479,0.8783,0.4198
O3,8788,1.3914,2.7124,0.8972,7.3573
CO,8788,42.4091,88.9532,0.891,7912.6763
NOX,8788,3.0142,5.7666,0.7609,33.2537
WS,8788,0.0405,0.0753,-0.2206,0.0057
WD,8788,4.5576,8.4508,0.533,71.4163
AT,8788,0.6574,2.313,-0.3022,5.3498
RH,8788,2.0405,3.0796,0.9068,9.4841
BP,8788,27.5514,28.6206,-0.0763,819.1395
SolarRad,8788,14.9338,33.2794,0.8576,1107.521
Rain,8788,0.3582,1.6406,0.7184,2.6917
