feature,importance
PM10_roll3,0.862330541013104
PM10_lag3,0.018786539881153152
PM10_lag1,0.017186305173990904
hour_sin,0.016339870458982546
SolarRad,0.0036733115478739292
O3_lag3,0.003339028209856551
NO2_lag3,0.0028957981664785035
NO2_lag24,0.0026483409035245736
PM10_lag24,0.002647731821389702
PM10_roll6,0.002483135124864699
PM10_roll24,0.0022269792954495294
u,0.0021650144614102575
AT_lag6,0.001991078995928004
O3_lag24,0.001967377911332843
AT_lag3,0.001880377077649602
O3_lag6,0.0018019188725664863
AT,0.0017296356428127442
WD,0.001725450341388287
RH_roll24,0.0017081540678208502
O3_roll24,0.0016923661573502713
NO2_roll3,0.001691014056308632
RH,0.0016663177257792649
PM10_lag6,0.0016537710367853853
AT_roll6,0.0016391611297830544
NO2_roll24,0.0016235999026518245
NO2_lag1,0.00160262548743572
AT_roll24,0.0016017972716938886
RH_lag6,0.001588576480726659
v,0.0015882071874989874
NO2_lag6,0.0015747838282530102
AT_lag1,0.0015446348182499975
RH_lag3,0.0015232870157715834
RH_lag24,0.0014405638662505294
BP_lag24,0.001345792925989112
WS_roll24,0.0012736573582452161
AT_lag24,0.0012680972211852638
AT_roll3,0.0012210451853707604
NO2_roll6,0.0012054247448780625
BP_lag6,0.001137728630804794
O3_roll3,0.0011370881078495798
WS_lag6,0.001068724326534038
O3_lag1,0.0010635855576757514
RH_lag1,0.001017467177742807
RH_roll6,0.000985023483301479
WS_lag24,0.0009750267734162528
O3_roll6,0.0009692095504685781
WS_lag3,0.0009669080939907
WS_roll6,0.0009451622407210728
hour,0.0009286870762816386
WS_lag1,0.0009061109790721009
BP,0.0008272609358896834
BP_roll24,0.0008259546446940423
RH_roll3,0.0008244852083901735
hour_cos,0.0008144743715501543
WS_roll3,0.0007531823339593597
WS,0.0007059262818569462
BP_lag3,0.000699557060732926
month,0.0006589456115147577
dow_sin,0.0006067289242669897
BP_roll6,0.00058709340352946
BP_roll3,0.0005628365398174201
BP_lag1,0.0005289083592001134
dow,0.0005267632714473811
dow_cos,0.0003796509356386391
Rain,0.00026689237620161177
is_weekend,5.93053756670893e-05
