value,geometry
32.78369077640484,POINT (361400.6697062135 742942.1585607335)
32.82390471196714,POINT (362400.6697062135 742942.1585607335)
32.86264947804071,POINT (363400.6697062135 742942.1585607335)
32.89981750750964,POINT (364400.6697062135 742942.1585607335)
32.935296763451085,POINT (365400.6697062135 742942.1585607335)
32.96897069515966,POINT (366400.6697062135 742942.1585607335)
33.00071821029222,POINT (367400.6697062135 742942.1585607335)
33.03041366526122,POINT (368400.6697062135 742942.1585607335)
33.057926876139994,POINT (369400.6697062135 742942.1585607335)
33.08312315247325,POINT (370400.6697062135 742942.1585607335)
33.10586335650886,POINT (371400.6697062135 742942.1585607335)
33.126003990478914,POINT (372400.6697062135 742942.1585607335)
33.14339731465543,POINT (373400.6697062135 742942.1585607335)
33.157891498985826,POINT (374400.6697062135 742942.1585607335)
33.16933081116951,POINT (375400.6697062135 742942.1585607335)
33.1775558440664,POINT (376400.6697062135 742942.1585607335)
33.18240378532451,POINT (377400.6697062135 742942.1585607335)
33.183708732071835,POINT (378400.6697062135 742942.1585607335)
33.181302053432034,POINT (379400.6697062135 742942.1585607335)
33.17501280348731,POINT (380400.6697062135 742942.1585607335)
33.164668187119716,POINT (381400.6697062135 742942.1585607335)
33.150094080907905,POINT (382400.6697062135 742942.1585607335)
33.131115610933996,POINT (383400.6697062135 742942.1585607335)
33.10755778895952,POINT (384400.6697062135 742942.1585607335)
33.07924620795596,POINT (385400.6697062135 742942.1585607335)
33.04600779742002,POINT (386400.6697062135 742942.1585607335)
33.00767163826373,POINT (387400.6697062135 742942.1585607335)
32.964069836344656,POINT (388400.6697062135 742942.1585607335)
32.915038452891196,POINT (389400.6697062135 742942.1585607335)
32.86041848918629,POINT (390400.6697062135 742942.1585607335)
32.80005692190455,POINT (391400.6697062135 742942.1585607335)
32.733807784460595,POINT (392400.6697062135 742942.1585607335)
32.6615332886322,POINT (393400.6697062135 742942.1585607335)
32.5831049795837,POINT (394400.6697062135 742942.1585607335)
32.49840491625164,POINT (395400.6697062135 742942.1585607335)
32.40732686788518,POINT (396400.6697062135 742942.1585607335)
32.30977751638445,POINT (397400.6697062135 742942.1585607335)
32.20567765297458,POINT (398400.6697062135 742942.1585607335)
32.09496335672484,POINT (399400.6697062135 742942.1585607335)
31.977587141499505,POINT (400400.6697062135 742942.1585607335)
31.853519057144243,POINT (401400.6697062135 742942.1585607335)
31.722747730102068,POINT (402400.6697062135 742942.1585607335)
31.58528132824861,POINT (403400.6697062135 742942.1585607335)
31.44114843456849,POINT (404400.6697062135 742942.1585607335)
31.290398814391544,POINT (405400.6697062135 742942.1585607335)
31.13310406129208,POINT (406400.6697062135 742942.1585607335)
30.969358107445117,POINT (407400.6697062135 742942.1585607335)
30.799277585241498,POINT (408400.6697062135 742942.1585607335)
30.62300202829152,POINT (409400.6697062135 742942.1585607335)
30.440693901589242,POINT (410400.6697062135 742942.1585607335)
30.25253845255112,POINT (411400.6697062135 742942.1585607335)
30.05874337685774,POINT (412400.6697062135 742942.1585607335)
29.859538295481542,POINT (413400.6697062135 742942.1585607335)
29.65517404193183,POINT (414400.6697062135 742942.1585607335)
29.445921761538155,POINT (415400.6697062135 742942.1585607335)
29.23207182746447,POINT (416400.6697062135 742942.1585607335)
29.013932581033682,POINT (417400.6697062135 742942.1585607335)
28.791828906776608,POINT (418400.6697062135 742942.1585607335)
28.566100655330228,POINT (419400.6697062135 742942.1585607335)
28.337100929829575,POINT (420400.6697062135 742942.1585607335)
