value,geometry
32.78369077640484,POINT (79.74598272124354 6.7197163265962185)
32.82390471196714,POINT (79.75502905061313 6.719739408453912)
32.86264947804071,POINT (79.76407541165185 6.71976232330254)
32.89981750750964,POINT (79.7731218041297 6.71978507113926)
32.935296763451085,POINT (79.78216822781671 6.719807651961251)
32.96897069515966,POINT (79.79121468248292 6.71983006576571)
33.00071821029222,POINT (79.80026116789834 6.719852312549853)
33.03041366526122,POINT (79.80930768383297 6.719874392310924)
33.057926876139994,POINT (79.81835423005684 6.719896305046177)
33.08312315247325,POINT (79.82740080633994 6.7199180507529)
33.10586335650886,POINT (79.8364474124523 6.719939629428389)
33.126003990478914,POINT (79.84549404816389 6.719961041069968)
33.14339731465543,POINT (79.85454071324473 6.7199822856749805)
33.157891498985826,POINT (79.86358740746479 6.720003363240789)
33.16933081116951,POINT (79.87263413059408 6.720024273764777)
33.1775558440664,POINT (79.88168088240256 6.720045017244351)
33.18240378532451,POINT (79.89072766266024 6.720065593676937)
33.183708732071835,POINT (79.89977447113706 6.720086003059981)
33.181302053432034,POINT (79.90882130760303 6.720106245390948)
33.17501280348731,POINT (79.9178681718281 6.720126320667329)
33.164668187119716,POINT (79.92691506358224 6.72014622888663)
33.150094080907905,POINT (79.93596198263542 6.7201659700463825)
33.131115610933996,POINT (79.94500892875759 6.720185544144135)
33.10755778895952,POINT (79.95405590171869 6.720204951177458)
33.07924620795596,POINT (79.9631029012887 6.720224191143945)
33.04600779742002,POINT (79.97214992723758 6.7202432640412075)
33.00767163826373,POINT (79.98119697933522 6.7202621698668725)
32.964069836344656,POINT (79.9902440573516 6.720280908618603)
32.915038452891196,POINT (79.99929116105666 6.720299480294068)
32.86041848918629,POINT (80.00833829022034 6.720317884890963)
32.80005692190455,POINT (80.01738544461256 6.720336122407004)
32.733807784460595,POINT (80.02643262400323 6.720354192839928)
32.6615332886322,POINT (80.03547982816231 6.720372096187492)
32.5831049795837,POINT (80.0445270568597 6.720389832447473)
32.49840491625164,POINT (80.05357430986533 6.7204074016176705)
32.40732686788518,POINT (80.0626215869491 6.720424803695902)
32.30977751638445,POINT (80.07166888788095 6.7204420386800106)
32.20567765297458,POINT (80.08071621243077 6.720459106567857)
32.09496335672484,POINT (80.08976356036847 6.720476007357319)
31.977587141499505,POINT (80.09881093146396 6.720492741046302)
31.853519057144243,POINT (80.10785832548711 6.720509307632728)
31.722747730102068,POINT (80.11690574220788 6.720525707114542)
31.58528132824861,POINT (80.12595318139611 6.7205419394897055)
31.44114843456849,POINT (80.13500064282171 6.7205580047562075)
31.290398814391544,POINT (80.14404812625456 6.720573902912052)
31.13310406129208,POINT (80.15309563146457 6.720589633955265)
30.969358107445117,POINT (80.1621431582216 6.720605197883892)
30.799277585241498,POINT (80.17119070629553 6.720620594696007)
30.62300202829152,POINT (80.18023827545626 6.720635824389694)
30.440693901589242,POINT (80.18928586547365 6.720650886963063)
30.25253845255112,POINT (80.19833347611757 6.720665782414247)
30.05874337685774,POINT (80.2073811071579 6.720680510741394)
29.859538295481542,POINT (80.2164287583645 6.720695071942678)
29.65517404193183,POINT (80.22547642950721 6.72070946601629)
29.445921761538155,POINT (80.23452412035596 6.720723692960444)
29.23207182746447,POINT (80.24357183068054 6.720737752773373)
29.013932581033682,POINT (80.25261956025082 6.720751645453333)
28.791828906776608,POINT (80.26166730883669 6.720765370998599)
28.566100655330228,POINT (80.27071507620796 6.720778929407468)
28.337100929829575,POINT (80.27976286213453 6.720792320678254)
28.105194253699842,POINT (80.28881066638618 6.720805544809297)
27.870754639701666,POINT (80.29785848873281 6.720818601798956)
27.634163581662506,POINT (80.30690632894425 6.720831491645608)
27.395807991500437,POINT (80.31595418679032 6.7208442143476566)
27.15607810488445,POINT (80.32500206204088 6.720856769903517)
26.915365379162736,POINT (80.33404995446575 6.720869158311636)
26.674060407023447,POINT (80.34309786383477 6.720881379570472)
26.43255086874342,POINT (80.35214578991777 6.72089343367851)
26.191219544851077,POINT (80.36119373248458 6.720905320634251)
25.95044240961595,POINT (80.37024169130503 6.720917040436223)
25.71058682402324,POINT (80.37928966614894 6.72092859308297)
25.472009844850152,POINT (80.38833765678612 6.720939978573054)
25.235056664190687,POINT (80.39738566298642 6.720951196905067)
25.000059191338913,POINT (80.40643368451963 6.720962248077612)
24.76733478640138,POINT (80.41548172115559 6.720973132089321)
24.537185152430627,POINT (80.4245297726641 6.720983848938838)
24.309895390313383,POINT (80.43357783881498 6.720994398624838)
24.08573321816469,POINT (80.44262591937805 6.721004781146008)
23.864948354622726,POINT (80.45167401412309 6.72101499650106)
23.64777206325041,POINT (80.46072212281992 6.721025044688724)
23.434416853263958,POINT (80.46977024523837 6.721034925707754)
23.225076330051373,POINT (80.4788183811482 6.721044639556926)
23.019925187433795,POINT (80.48786653031924 6.721054186235031)
22.819119332369116,POINT (80.49691469252129 6.721063565740882)
22.622796131803636,POINT (80.50596286752415 6.721072778073318)
22.43107477063866,POINT (80.5150110550976 6.721081823231195)
22.24405670928588,POINT (80.52405925501144 6.721090701213389)
22.06182622902157,POINT (80.53310746703548 6.721099412018798)
21.88445105329816,POINT (80.54215569093948 6.72110795564634)
21.71198303330925,POINT (80.55120392649327 6.7211163320949545)
21.54445888640795,POINT (80.56025217346664 6.7211245413636025)
21.38190097642404,POINT (80.56930043162933 6.721132583451264)
21.22431812548736,POINT (80.57834870075115 6.721140458356943)
21.071706447620052,POINT (80.5873969806019 6.721148166079657)
20.924050195084458,POINT (80.59644527095135 6.721155706618453)
20.78132260924611,POINT (80.60549357156928 6.721163079972392)
20.643486768511963,POINT (80.61454188222548 6.721170286140562)
