value,geometry
12.313462003440081,POINT (79.74598272124354 6.7197163265962185)
12.326501442368553,POINT (79.75502905061313 6.719739408453912)
12.339064500521152,POINT (79.76407541165185 6.71976232330254)
12.35111629907245,POINT (79.7731218041297 6.71978507113926)
12.36262050985429,POINT (79.78216822781671 6.719807651961251)
12.373539341096642,POINT (79.79121468248292 6.71983006576571)
12.38383352839548,POINT (79.80026116789834 6.719852312549853)
12.39346233159783,POINT (79.80930768383297 6.719874392310924)
12.402383538337821,POINT (79.81835423005684 6.719896305046177)
12.410553474999784,POINT (79.82740080633994 6.7199180507529)
12.417927025924287,POINT (79.8364474124523 6.719939629428389)
12.424457661709146,POINT (79.84549404816389 6.719961041069968)
12.43009747748921,POINT (79.85454071324473 6.7199822856749805)
12.434797242104425,POINT (79.86358740746479 6.720003363240789)
12.43850645908399,POINT (79.87263413059408 6.720024273764777)
12.441173440383979,POINT (79.88168088240256 6.720045017244351)
12.442745393814553,POINT (79.89072766266024 6.720065593676937)
12.443168525079344,POINT (79.89977447113706 6.720086003059981)
12.442388155321812,POINT (79.90882130760303 6.720106245390948)
12.440348855029178,POINT (79.9178681718281 6.720126320667329)
12.43699459508228,POINT (79.92691506358224 6.72014622888663)
12.432268915657259,POINT (79.93596198263542 6.7201659700463825)
12.426115113580435,POINT (79.94500892875759 6.720185544144135)
12.418476448609479,POINT (79.95405590171869 6.720204951177458)
12.409296368960414,POINT (79.9631029012887 6.720224191143945)
12.39851875621989,POINT (79.97214992723758 6.7202432640412075)
12.38608818957475,POINT (79.98119697933522 6.7202621698668725)
12.371950229055708,POINT (79.9902440573516 6.720280908618603)
12.356051717229395,POINT (79.99929116105666 6.720299480294068)
12.338341098483761,POINT (80.00833829022034 6.720317884890963)
12.318768754737954,POINT (80.01738544461256 6.720336122407004)
12.297287356071417,POINT (80.02643262400323 6.720354192839928)
12.273852224412137,POINT (80.03547982816231 6.720372096187492)
12.248421708055021,POINT (80.0445270568597 6.720389832447473)
12.220957564403994,POINT (80.05357430986533 6.7204074016176705)
12.191425347952341,POINT (80.0626215869491 6.720424803695902)
12.159794800142986,POINT (80.07166888788095 6.7204420386800106)
12.126040237392168,POINT (80.08071621243077 6.720459106567857)
12.090140933226312,POINT (80.08976356036847 6.720476007357319)
12.052081490182877,POINT (80.09881093146396 6.720492741046302)
12.01185219687194,POINT (80.10785832548711 6.720509307632728)
11.969449365397766,POINT (80.11690574220788 6.720525707114542)
11.924875644208312,POINT (80.12595318139611 6.7205419394897055)
11.878140301386317,POINT (80.13500064282171 6.7205580047562075)
11.829259473427014,POINT (80.14404812625456 6.720573902912052)
11.77825637467206,POINT (80.15309563146457 6.720589633955265)
11.72516146279347,POINT (80.1621431582216 6.720605197883892)
11.670012556047928,POINT (80.17119070629553 6.720620594696007)
11.61285489845258,POINT (80.18023827545626 6.720635824389694)
11.553741169565852,POINT (80.18928586547365 6.720650886963063)
11.492731436186471,POINT (80.19833347611757 6.720665782414247)
11.429893044002066,POINT (80.2073811071579 6.720680510741394)
11.365300448014494,POINT (80.2164287583645 6.720695071942678)
11.299034981427777,POINT (80.22547642950721 6.72070946601629)
11.231184563589183,POINT (80.23452412035596 6.720723692960444)
11.16184334850489,POINT (80.24357183068054 6.720737752773373)
11.091111316388057,POINT (80.25261956025082 6.720751645453333)
11.01909381161593,POINT (80.26166730883669 6.720765370998599)
10.945901031351847,POINT (80.27071507620796 6.720778929407468)
10.871647469904811,POINT (80.27976286213453 6.720792320678254)
10.796451324632896,POINT (80.28881066638618 6.720805544809297)
10.720433869827769,POINT (80.29785848873281 6.720818601798956)
10.643718805530108,POINT (80.30690632894425 6.720831491645608)
10.566431588605944,POINT (80.31595418679032 6.7208442143476566)
10.488698753653356,POINT (80.32500206204088 6.720856769903517)
10.410647231402038,POINT (80.33404995446575 6.720869158311636)
10.332403672214154,POINT (80.34309786383477 6.720881379570472)
10.25409378209741,POINT (80.35214578991777 6.72089343367851)
10.175841678307519,POINT (80.36119373248458 6.720905320634251)
10.097769271158844,POINT (80.37024169130503 6.720917040436223)
10.019995678093242,POINT (80.37928966614894 6.72092859308297)
9.94263667539511,POINT (80.38833765678612 6.720939978573054)
9.86580419220457,POINT (80.39738566298642 6.720951196905067)
9.789605850690632,POINT (80.40643368451963 6.720962248077612)
9.714144555422818,POINT (80.41548172115559 6.720973132089321)
9.639518134143502,POINT (80.4245297726641 6.720983848938838)
9.565819031313765,POINT (80.43357783881498 6.720994398624838)
9.493134055000569,POINT (80.44262591937805 6.721004781146008)
9.421544176909029,POINT (80.45167401412309 6.72101499650106)
9.351124384653833,POINT (80.46072212281992 6.721025044688724)
9.281943584719954,POINT (80.46977024523837 6.721034925707754)
9.214064553993014,POINT (80.4788183811482 6.721044639556926)
9.147543937250004,POINT (80.48786653031924 6.721054186235031)
9.08243228759466,POINT (80.49691469252129 6.721063565740882)
9.018774146499526,POINT (80.50596286752415 6.721072778073318)
8.956608159877277,POINT (80.5150110550976 6.721081823231195)
8.895967226443826,POINT (80.52405925501144 6.721090701213389)
8.83687867455039,POINT (80.53310746703548 6.721099412018798)
8.779364463644846,POINT (80.54215569093948 6.72110795564634)
8.723441406567389,POINT (80.55120392649327 6.7211163320949545)
8.669121408983976,POINT (80.56025217346664 6.7211245413636025)
8.616411722405523,POINT (80.56930043162933 6.721132583451264)
8.565315207423055,POINT (80.57834870075115 6.721140458356943)
8.515830604001456,POINT (80.5873969806019 6.721148166079657)
8.46795280590925,POINT (80.59644527095135 6.721155706618453)
8.421673136612425,POINT (80.60549357156928 6.721163079972392)
8.376979624219866,POINT (80.61454188222548 6.721170286140562)
8.333857273331216,POINT (80.62359020268973 6.721177325122066)
8.292288331899524,POINT (80.63263853273179 6.72118419691603)
8.252252551477095,POINT (80.64168687212145 6.721190901521602)
8.213727439459573,POINT (80.65073522062848 6.721197438937949)
8.17668850217806,POINT (80.65978357802267 6.72120380916426)
8.141109477909483,POINT (80.66883194407376 6.721210012199742)
8.106962559080166,POINT (80.67788031855156 6.721216048043626)
8.074218603125482,POINT (80.68692870122582 6.721221916695164)
8.042847331639065,POINT (80.6959770918663 6.721227618153627)
8.01281751759821,POINT (80.7050254902428 6.721233152418306)
7.984097160587815,POINT (80.71407389612507 6.721238519488514)
7.956653650064403,POINT (80.72312230928289 6.721243719363587)
7.930453916804525,POINT (80.73217072948599 6.721248752042875)
7.905464572769634,POINT (80.74121915650417 6.721253617525758)
7.881652039692918,POINT (80.75026759010719 6.7212583158116255)
7.858982666753873,POINT (80.75931603006478 6.721262846899901)
7.837422837754566,POINT (80.76836447614676 6.721267210790018)
7.816939068248959,POINT (80.77741292812284 6.721271407481438)
7.797498093104097,POINT (80.78646138576282 6.721275436973635)
7.779066944990905,POINT (80.79550984883643 6.721279299266113)
7.761613024313475,POINT (80.80455831711345 6.721282994358392)
7.74510416109043,POINT (80.81360679036362 6.72128652225001)
12.328378494621463,POINT (79.74595953372224 6.728760213928995)
12.341819107169886,POINT (79.75500603025813 6.728783327127874)
12.354786748849355,POINT (79.764052558466 6.728806273090921)
12.367245936526048,POINT (79.7730991181159 6.728829051815291)
12.379159673610728,POINT (79.78214570897777 6.728851663298155)
12.390489432132744,POINT (79.79119233082166 6.7288741075367104)
12.401195140039666,POINT (79.80023898341754 6.728896384528167)
12.411235174445393,POINT (79.80928566653544 6.728918494269765)
12.420566361598588,POINT (79.81833237994532 6.728940436758759)
12.429143984390413,POINT (79.82737912341716 6.7289622119924255)
12.436921798266091,POINT (79.83642589672098 6.728983819968061)
12.443852056446794,POINT (79.84547269962673 6.729005260682986)
12.449885545405921,POINT (79.85451953190439 6.72902653413454)
12.454971631575809,POINT (79.86356639332394 6.72904764032008)
12.459058320285171,POINT (79.87261328365531 6.729068579236992)
