value,geometry
28.448551263897457,POINT (79.74598272124354 6.7197163265962185)
28.482636962905435,POINT (79.75502905061313 6.719739408453912)
28.515477380438618,POINT (79.76407541165185 6.71976232330254)
28.54698134162727,POINT (79.7731218041297 6.71978507113926)
28.577053882952498,POINT (79.78216822781671 6.719807651961251)
28.6055962149721,POINT (79.79121468248292 6.71983006576571)
28.632505698710222,POINT (79.80026116789834 6.719852312549853)
28.657675837514724,POINT (79.80930768383297 6.719874392310924)
28.680996286300548,POINT (79.81835423005684 6.719896305046177)
28.702352880207815,POINT (79.82740080633994 6.7199180507529)
28.721627684807263,POINT (79.8364474124523 6.719939629428389)
28.738699070080397,POINT (79.84549404816389 6.719961041069968)
28.75344181048467,POINT (79.85454071324473 6.7199822856749805)
28.765727213481018,POINT (79.86358740746479 6.720003363240789)
28.775423278949344,POINT (79.87263413059408 6.720024273764777)
28.782394891942054,POINT (79.88168088240256 6.720045017244351)
28.78650405122283,POINT (79.89072766266024 6.720065593676937)
28.787610136002378,POINT (79.89977447113706 6.720086003059981)
28.785570213209994,POINT (79.90882130760303 6.720106245390948)
28.780239387524702,POINT (79.9178681718281 6.720126320667329)
28.77147119622662,POINT (79.92691506358224 6.72014622888663)
28.759118050713752,POINT (79.93596198263542 6.7201659700463825)
28.743031726256397,POINT (79.94500892875759 6.720185544144135)
28.72306390122565,POINT (79.95405590171869 6.720204951177458)
28.699066746631505,POINT (79.9631029012887 6.720224191143945)
28.67089356633492,POINT (79.97214992723758 6.7202432640412075)
28.638399487756143,POINT (79.98119697933522 6.7202621698668725)
28.60144220228687,POINT (79.9902440573516 6.720280908618603)
28.559882753927216,POINT (79.99929116105666 6.720299480294068)
28.51358637391268,POINT (80.00833829022034 6.720317884890963)
28.462423358275274,POINT (80.01738544461256 6.720336122407004)
28.406269984404307,POINT (80.02643262400323 6.720354192839928)
28.345009461744354,POINT (80.03547982816231 6.720372096187492)
28.278532910803683,POINT (80.0445270568597 6.720389832447473)
28.206740363659886,POINT (80.05357430986533 6.7204074016176705)
28.129541778158504,POINT (80.0626215869491 6.720424803695902)
28.046858057025904,POINT (80.07166888788095 6.7204420386800106)
27.95862206218119,POINT (80.08071621243077 6.720459106567857)
27.864779613659763,POINT (80.08976356036847 6.720476007357319)
27.76529046177935,POINT (80.09881093146396 6.720492741046302)
27.660129220515635,POINT (80.10785832548711 6.720509307632728)
27.549286249537865,POINT (80.11690574220788 6.720525707114542)
27.43276847201201,POINT (80.12595318139611 6.7205419394897055)
27.31060011513685,POINT (80.13500064282171 6.7205580047562075)
27.18282336046039,POINT (80.14404812625456 6.720573902912052)
27.049498891349998,POINT (80.15309563146457 6.720589633955265)
26.910706325574996,POINT (80.1621431582216 6.720605197883892)
26.76654452181491,POINT (80.17119070629553 6.720620594696007)
26.617131750032033,POINT (80.18023827545626 6.720635824389694)
26.462605717038922,POINT (80.18928586547365 6.720650886963063)
26.303123440237414,POINT (80.19833347611757 6.720665782414247)
26.13886096438299,POINT (80.2073811071579 6.720680510741394)
25.97001291830875,POINT (80.2164287583645 6.720695071942678)
25.79679191078775,POINT (80.22547642950721 6.72070946601629)
25.61942776707735,POINT (80.23452412035596 6.720723692960444)
25.438166610122945,POINT (80.24357183068054 6.720737752773373)
25.253269792845543,POINT (80.25261956025082 6.720751645453333)
25.06501269034025,POINT (80.26166730883669 6.720765370998599)
24.873683363110402,POINT (80.27071507620796 6.720778929407468)
24.679581104597727,POINT (80.27976286213453 6.720792320678254)
24.48301488818617,POINT (80.28881066638618 6.720805544809297)
24.284301730507053,POINT (80.29785848873281 6.720818601798956)
24.08376498921226,POINT (80.30690632894425 6.720831491645608)
23.88173261437673,POINT (80.31595418679032 6.7208442143476566)
23.67853537331708,POINT (80.32500206204088 6.720856769903517)
23.474505068856327,POINT (80.33404995446575 6.720869158311636)
23.26997277092377,POINT (80.34309786383477 6.720881379570472)
23.06526708086226,POINT (80.35214578991777 6.72089343367851)
22.86071244694317,POINT (80.36119373248458 6.720905320634251)
22.656627548390677,POINT (80.37024169130503 6.720917040436223)
22.453323763730495,POINT (80.37928966614894 6.72092859308297)
22.251103737547556,POINT (80.38833765678612 6.720939978573054)
22.050260057812956,POINT (80.39738566298642 6.720951196905067)
21.851074053875276,POINT (80.40643368451963 6.720962248077612)
21.6538147230589,POINT (80.41548172115559 6.720973132089321)
21.45873779162624,POINT (80.4245297726641 6.720983848938838)
21.266084913692374,POINT (80.43357783881498 6.720994398624838)
21.076083009576358,POINT (80.44262591937805 6.721004781146008)
20.8889437430763,POINT (80.45167401412309 6.72101499650106)
